"STATISTIC","Statistic Label","TLIST(A1)","Census Year","C02199V02655","Sex","C04282V05059","Employment Cohorts","C02076V02508","Age Group","UNIT","VALUE"
"EAPI02C01","Mean Weekly Earnings","2016","2016","-","Both sexes","10","Married couple with children","415","25 - 34 years","Euro","648.02"
"EAPI02C01","Mean Weekly Earnings","2016","2016","-","Both sexes","10","Married couple with children","465","35 - 44 years","Euro","882.58"
"EAPI02C01","Mean Weekly Earnings","2016","2016","-","Both sexes","10","Married couple with children","500","45 - 54 years","Euro","966.07"
"EAPI02C01","Mean Weekly Earnings","2016","2016","-","Both sexes","10","Married couple with children","530","55 - 59 years","Euro","971.55"
"EAPI02C01","Mean Weekly Earnings","2016","2016","-","Both sexes","10","Married couple with children","-","All ages","Euro","885.45"
"EAPI02C01","Mean Weekly Earnings","2016","2016","-","Both sexes","20","Cohabiting couple with children","415","25 - 34 years","Euro","513.75"
"EAPI02C01","Mean Weekly Earnings","2016","2016","-","Both sexes","20","Cohabiting couple with children","465","35 - 44 years","Euro","667.48"
"EAPI02C01","Mean Weekly Earnings","2016","2016","-","Both sexes","20","Cohabiting couple with children","500","45 - 54 years","Euro","748.93"
"EAPI02C01","Mean Weekly Earnings","2016","2016","-","Both sexes","20","Cohabiting couple with children","530","55 - 59 years","Euro","746.07"
"EAPI02C01","Mean Weekly Earnings","2016","2016","-","Both sexes","20","Cohabiting couple with children","-","All ages","Euro","615.17"
"EAPI02C01","Mean Weekly Earnings","2016","2016","-","Both sexes","30","One parent family with children","415","25 - 34 years","Euro","357.23"
"EAPI02C01","Mean Weekly Earnings","2016","2016","-","Both sexes","30","One parent family with children","465","35 - 44 years","Euro","501.72"
"EAPI02C01","Mean Weekly Earnings","2016","2016","-","Both sexes","30","One parent family with children","500","45 - 54 years","Euro","589.36"
"EAPI02C01","Mean Weekly Earnings","2016","2016","-","Both sexes","30","One parent family with children","530","55 - 59 years","Euro","635.56"
"EAPI02C01","Mean Weekly Earnings","2016","2016","-","Both sexes","30","One parent family with children","-","All ages","Euro","491.82"
"EAPI02C01","Mean Weekly Earnings","2016","2016","-","Both sexes","-","Total EAADS Employment Population","415","25 - 34 years","Euro","614.07"
"EAPI02C01","Mean Weekly Earnings","2016","2016","-","Both sexes","-","Total EAADS Employment Population","465","35 - 44 years","Euro","803.48"
"EAPI02C01","Mean Weekly Earnings","2016","2016","-","Both sexes","-","Total EAADS Employment Population","500","45 - 54 years","Euro","838.49"
"EAPI02C01","Mean Weekly Earnings","2016","2016","-","Both sexes","-","Total EAADS Employment Population","530","55 - 59 years","Euro","775.78"
"EAPI02C01","Mean Weekly Earnings","2016","2016","-","Both sexes","-","Total EAADS Employment Population","-","All ages","Euro","747.68"
"EAPI02C01","Mean Weekly Earnings","2016","2016","1","Male","10","Married couple with children","415","25 - 34 years","Euro","768.97"
"EAPI02C01","Mean Weekly Earnings","2016","2016","1","Male","10","Married couple with children","465","35 - 44 years","Euro","1042.68"
"EAPI02C01","Mean Weekly Earnings","2016","2016","1","Male","10","Married couple with children","500","45 - 54 years","Euro","1186.95"
"EAPI02C01","Mean Weekly Earnings","2016","2016","1","Male","10","Married couple with children","530","55 - 59 years","Euro","1124.48"
"EAPI02C01","Mean Weekly Earnings","2016","2016","1","Male","10","Married couple with children","-","All ages","Euro","1069.67"
"EAPI02C01","Mean Weekly Earnings","2016","2016","1","Male","20","Cohabiting couple with children","415","25 - 34 years","Euro","601.58"
"EAPI02C01","Mean Weekly Earnings","2016","2016","1","Male","20","Cohabiting couple with children","465","35 - 44 years","Euro","742.57"
"EAPI02C01","Mean Weekly Earnings","2016","2016","1","Male","20","Cohabiting couple with children","500","45 - 54 years","Euro","831.69"
"EAPI02C01","Mean Weekly Earnings","2016","2016","1","Male","20","Cohabiting couple with children","530","55 - 59 years","Euro","807.85"
"EAPI02C01","Mean Weekly Earnings","2016","2016","1","Male","20","Cohabiting couple with children","-","All ages","Euro","701.49"
"EAPI02C01","Mean Weekly Earnings","2016","2016","1","Male","30","One parent family with children","415","25 - 34 years","Euro","555.03"
"EAPI02C01","Mean Weekly Earnings","2016","2016","1","Male","30","One parent family with children","465","35 - 44 years","Euro","733.89"
"EAPI02C01","Mean Weekly Earnings","2016","2016","1","Male","30","One parent family with children","500","45 - 54 years","Euro","849.18"
"EAPI02C01","Mean Weekly Earnings","2016","2016","1","Male","30","One parent family with children","530","55 - 59 years","Euro","845.1"
"EAPI02C01","Mean Weekly Earnings","2016","2016","1","Male","30","One parent family with children","-","All ages","Euro","765.53"
"EAPI02C01","Mean Weekly Earnings","2016","2016","1","Male","-","Total EAADS Employment Population","415","25 - 34 years","Euro","654.88"
"EAPI02C01","Mean Weekly Earnings","2016","2016","1","Male","-","Total EAADS Employment Population","465","35 - 44 years","Euro","900.56"
"EAPI02C01","Mean Weekly Earnings","2016","2016","1","Male","-","Total EAADS Employment Population","500","45 - 54 years","Euro","1005.36"
"EAPI02C01","Mean Weekly Earnings","2016","2016","1","Male","-","Total EAADS Employment Population","530","55 - 59 years","Euro","939.06"
"EAPI02C01","Mean Weekly Earnings","2016","2016","1","Male","-","Total EAADS Employment Population","-","All ages","Euro","848.89"
"EAPI02C01","Mean Weekly Earnings","2016","2016","2","Female","10","Married couple with children","415","25 - 34 years","Euro","554.92"
"EAPI02C01","Mean Weekly Earnings","2016","2016","2","Female","10","Married couple with children","465","35 - 44 years","Euro","722.03"
"EAPI02C01","Mean Weekly Earnings","2016","2016","2","Female","10","Married couple with children","500","45 - 54 years","Euro","706.28"
"EAPI02C01","Mean Weekly Earnings","2016","2016","2","Female","10","Married couple with children","530","55 - 59 years","Euro","700.76"
"EAPI02C01","Mean Weekly Earnings","2016","2016","2","Female","10","Married couple with children","-","All ages","Euro","691.95"
"EAPI02C01","Mean Weekly Earnings","2016","2016","2","Female","20","Cohabiting couple with children","415","25 - 34 years","Euro","431.66"
"EAPI02C01","Mean Weekly Earnings","2016","2016","2","Female","20","Cohabiting couple with children","465","35 - 44 years","Euro","586.43"
"EAPI02C01","Mean Weekly Earnings","2016","2016","2","Female","20","Cohabiting couple with children","500","45 - 54 years","Euro","637.73"
"EAPI02C01","Mean Weekly Earnings","2016","2016","2","Female","20","Cohabiting couple with children","530","55 - 59 years","Euro","618.08"
"EAPI02C01","Mean Weekly Earnings","2016","2016","2","Female","20","Cohabiting couple with children","-","All ages","Euro","524.15"
"EAPI02C01","Mean Weekly Earnings","2016","2016","2","Female","30","One parent family with children","415","25 - 34 years","Euro","348.97"
"EAPI02C01","Mean Weekly Earnings","2016","2016","2","Female","30","One parent family with children","465","35 - 44 years","Euro","483.95"
"EAPI02C01","Mean Weekly Earnings","2016","2016","2","Female","30","One parent family with children","500","45 - 54 years","Euro","556.29"
"EAPI02C01","Mean Weekly Earnings","2016","2016","2","Female","30","One parent family with children","530","55 - 59 years","Euro","581.48"
"EAPI02C01","Mean Weekly Earnings","2016","2016","2","Female","30","One parent family with children","-","All ages","Euro","468.35"
"EAPI02C01","Mean Weekly Earnings","2016","2016","2","Female","-","Total EAADS Employment Population","415","25 - 34 years","Euro","573.17"
"EAPI02C01","Mean Weekly Earnings","2016","2016","2","Female","-","Total EAADS Employment Population","465","35 - 44 years","Euro","702.56"
"EAPI02C01","Mean Weekly Earnings","2016","2016","2","Female","-","Total EAADS Employment Population","500","45 - 54 years","Euro","674.71"
"EAPI02C01","Mean Weekly Earnings","2016","2016","2","Female","-","Total EAADS Employment Population","530","55 - 59 years","Euro","621.83"
"EAPI02C01","Mean Weekly Earnings","2016","2016","2","Female","-","Total EAADS Employment Population","-","All ages","Euro","646.05"
"EAPI02C01","Mean Weekly Earnings","2022","2022","-","Both sexes","10","Married couple with children","415","25 - 34 years","Euro","882.09"
"EAPI02C01","Mean Weekly Earnings","2022","2022","-","Both sexes","10","Married couple with children","465","35 - 44 years","Euro","1123.32"
"EAPI02C01","Mean Weekly Earnings","2022","2022","-","Both sexes","10","Married couple with children","500","45 - 54 years","Euro","1235.17"
"EAPI02C01","Mean Weekly Earnings","2022","2022","-","Both sexes","10","Married couple with children","530","55 - 59 years","Euro","1223.62"
"EAPI02C01","Mean Weekly Earnings","2022","2022","-","Both sexes","10","Married couple with children","-","All ages","Euro","1159.37"
"EAPI02C01","Mean Weekly Earnings","2022","2022","-","Both sexes","20","Cohabiting couple with children","415","25 - 34 years","Euro","716.95"
"EAPI02C01","Mean Weekly Earnings","2022","2022","-","Both sexes","20","Cohabiting couple with children","465","35 - 44 years","Euro","864.2"
"EAPI02C01","Mean Weekly Earnings","2022","2022","-","Both sexes","20","Cohabiting couple with children","500","45 - 54 years","Euro","948.92"
"EAPI02C01","Mean Weekly Earnings","2022","2022","-","Both sexes","20","Cohabiting couple with children","530","55 - 59 years","Euro","932.12"
"EAPI02C01","Mean Weekly Earnings","2022","2022","-","Both sexes","20","Cohabiting couple with children","-","All ages","Euro","840.02"
"EAPI02C01","Mean Weekly Earnings","2022","2022","-","Both sexes","30","One parent family with children","415","25 - 34 years","Euro","434.81"
"EAPI02C01","Mean Weekly Earnings","2022","2022","-","Both sexes","30","One parent family with children","465","35 - 44 years","Euro","617.96"
"EAPI02C01","Mean Weekly Earnings","2022","2022","-","Both sexes","30","One parent family with children","500","45 - 54 years","Euro","786.67"
"EAPI02C01","Mean Weekly Earnings","2022","2022","-","Both sexes","30","One parent family with children","530","55 - 59 years","Euro","839.23"
"EAPI02C01","Mean Weekly Earnings","2022","2022","-","Both sexes","30","One parent family with children","-","All ages","Euro","649.21"
"EAPI02C01","Mean Weekly Earnings","2022","2022","-","Both sexes","-","Total EAADS Employment Population","415","25 - 34 years","Euro","808.99"
"EAPI02C01","Mean Weekly Earnings","2022","2022","-","Both sexes","-","Total EAADS Employment Population","465","35 - 44 years","Euro","1000.31"
"EAPI02C01","Mean Weekly Earnings","2022","2022","-","Both sexes","-","Total EAADS Employment Population","500","45 - 54 years","Euro","1060.21"
"EAPI02C01","Mean Weekly Earnings","2022","2022","-","Both sexes","-","Total EAADS Employment Population","530","55 - 59 years","Euro","968.53"
"EAPI02C01","Mean Weekly Earnings","2022","2022","-","Both sexes","-","Total EAADS Employment Population","-","All ages","Euro","956.28"
"EAPI02C01","Mean Weekly Earnings","2022","2022","1","Male","10","Married couple with children","415","25 - 34 years","Euro","1062.74"
"EAPI02C01","Mean Weekly Earnings","2022","2022","1","Male","10","Married couple with children","465","35 - 44 years","Euro","1340.25"
"EAPI02C01","Mean Weekly Earnings","2022","2022","1","Male","10","Married couple with children","500","45 - 54 years","Euro","1487.09"
"EAPI02C01","Mean Weekly Earnings","2022","2022","1","Male","10","Married couple with children","530","55 - 59 years","Euro","1423.12"
"EAPI02C01","Mean Weekly Earnings","2022","2022","1","Male","10","Married couple with children","-","All ages","Euro","1393.14"
"EAPI02C01","Mean Weekly Earnings","2022","2022","1","Male","20","Cohabiting couple with children","415","25 - 34 years","Euro","855.93"
